HPV,NC_027779
HPV,NC_001356
HPV,NC_001352
HPV,NC_001457
HPV,NC_001531
HPV,NC_001355
HPV,NC_001595
HPV,NC_001596
HPV,NC_001576
HPV,NC_001526
HPV,NC_001357
HPV,NC_001583
HPV,J04353
HPV,NC_001586
HPV,M12732
HPV,NC_001587
HPV,X74477
HPV,M62849
HPV,NC_001354
HPV,X74479
HPV,NC_001690
HPV,NC_001591
HPV,NC_001691
HPV,M62877
HPV,X74481
HPV,NC_001593
HPV,NC_001676
HPV,X74483
HPV,D90400
HPV,X77858
HPV,NC_001693
HPV,NC_001694
HPV,NC_001458
HPV,U31794
HPV,D21208
HPV,DQ080079
HPV,U21941
HPV,X94165
HPV,AB027021
HPV,NC_010329
HPV,NC_004104
HPV,NC_004500
HPV,NC_005134
HPV,NC_008189
HPV,NC_008188
HPV,NC_012213
HPV,NC_012485
HPV,NC_012486
HPV,NC_013035
HPV,NC_014185
HPV,NC_014952
HPV,NC_014953
HPV,NC_014954
HPV,NC_014955
HPV,NC_014956
HPV,NC_014835
CMV,NC_006273
EBV,NC_007605
EBV2,NC_009334
HBV,NC_003977
HCV,NC_004102
HCV,NC_009823
HCV,NC_009824
HCV,NC_009825
HCV,NC_009826
HCV,NC_009827
HIV,NC_001802
HIV,NC_001722
HHV,NC_001806
HHV,NC_001798
HHV,NC_001348
HHV,NC_001664
HHV,NC_000898
HHV,NC_001716
HHV,NC_009333
HTLV,NC_001436
HTLV,NC_001488
HTLV,NC_011800
MCV,NC_010277
SV,NC_001669
SHV,AJ410493
SHV,AJ410494
BKPV,NC_001538
HPV,AB027020
HPV,X74462
HPV,M12737
HPV,M14119
HPV,X74466
HPV,X62843
HPV,X74467
HPV,X74468
HPV,X74469
HPV,X74470
HPV,U31778
HPV,U31779
HPV,U31780
HPV,U31781
HPV,NC_001683
HPV,X74471
HPV,X74473
HPV,U31783
HPV,U31784
HPV,X74474
HPV,U31785
HPV,U31786
HPV,U31787
HPV,X74478
HPV,M73236
HPV,AJ620205
HPV,U31788
HPV,M32305
HPV,X55965
HPV,AY395706
HPV,X70829
HPV,NC_002644
HPV,X94164
HPV,AF436130
HPV,Y15173
HPV,Y15174
HPV,Y15175
HPV,KC138720
HPV,Y15176
HPV,AJ620209
HPV,AF151983
HPV,AF293960
HPV,AF131950
HPV,AF349909
HPV,AJ400628
HPV,AF436128
HPV,AF419318
HPV,AY382778
HPV,AJ620211
HPV,AJ620210
HPV,DQ080080
HPV,NC_012744
HPV,NC_012745
HPV,NC_012746
HPV,DQ080083
HPV,NC_012750
HPV,NC_012747
HPV,DQ080082
HPV,EF422221
HPV,EU410348
HPV,EU410349
HPV,NC_012748
HPV,NC_013931
HPV,NC_013591
HPV,GQ246950
HPV,GQ246951
HPV,GQ845441
HPV,GQ845442
HPV,GQ845444
HPV,GQ845445
HPV,GQ845446
HPV,FN547152
HPV,NC_016157
HPV,NC_014469
HPV,GU117630
HPV,GU117633
HPV,NC_017993
HPV,NC_017994
HPV,NC_017995
HPV,HM999990
HPV,HM999991
HPV,NC_017996
HPV,HM999993
HPV,HM999994
HPV,HM999995
HPV,NC_017997
HPV,HM999997
HPV,HM999998
HPV,HM999999
HPV,GU117629
HPV,FN677755
HPV,FN677756
HPV,JF304768
HPV,JN171845
HPV,NC_021483
HPV,JF906559
HPV,JX429973
HPV,HE963025
HPV,AB745694
HPV,JX413109
HPV,JX413108
HPV,JX413107
HPV,JX413106
HPV,JX444072
HPV,NC_019023
HPV,NC_022892
HPV,KC862317
HPV,JX413105
HPV,JX413110
HPV,KF006398
HPV,KF006399
HPV,KF006400
HPV,HF930491
HPV,KC108721
HPV,NC_023891
HPV,NC_022095
HPV,KC108722
HPV,HG530535
HPV,KM085343
HPV,KJ913662
HPV,JF966378
HPV,JF966379
HPV,KF791917
HPV,JF966375
HPV,JF966376
HPV,JF966373
HPV,KC311731
HPV,JX444073
HPV,JF966371
HPV,JF966372
HPV,JF966374
HPV,KF482069
HPV,U85660
HPV,KC113191
